Transaction_ID,Timestamp,Amount,Merchant,Location,Card_Type,Device,Is_Fraud
244,07/01/2025 02:17,46.23,"Patel, Brown and Thomas",Wisefort,MasterCard,Desktop,0
245,04/01/2025 06:18,1.56,"Nichols, Taylor and White",New Kevinview,Visa,Mobile,0
246,16/01/2025 15:52,263.55,Barnes and Sons,Moorestad,Visa,Desktop,0
247,22/01/2025 07:32,55.89,"Wilson, Huber and Higgins",Lake Caitlynside,Discover,Mobile,0
248,12/01/2025 14:42,340.08,Daniel-Wright,Johnsonport,MasterCard,Tablet,0
249,09/01/2025 10:54,331.37,Murray-Warren,Greenetown,Visa,Mobile,0
250,08/01/2025 11:41,191.74,Freeman-Guerrero,Sandersburgh,Discover,Desktop,0
251,02/01/2025 19:05,34.88,Howell-Foster,New Phylliston,Visa,Desktop,0
252,06/01/2025 01:44,48.63,Garcia-Rivera,Port Heatherfort,MasterCard,Mobile,0
253,19/01/2025 20:10,190.47,Holt and Sons,North Pamela,MasterCard,Tablet,0
254,26/01/2025 16:29,38.11,Stokes-Gibson,South Danielside,MasterCard,Mobile,0
255,06/01/2025 20:04,18.57,Foster PLC,Hardyburgh,Visa,Mobile,0
256,30/01/2025 16:53,81.37,Allen-Jennings,Amandaton,Amex,Mobile,0
257,03/02/2025 17:41,275.13,Ortiz LLC,West Robert,Visa,Tablet,0
258,30/01/2025 09:09,119.08,Wallace-Anderson,Websterside,Amex,Desktop,0
259,03/01/2025 11:37,84.41,"Rodriguez, Jenkins and Ortega",North Stephenshire,MasterCard,Tablet,0
260,12/01/2025 19:51,10.22,Mullen-Green,Craigberg,Discover,Desktop,0
261,03/01/2025 03:49,95.45,"Barton, Butler and Barker",Alvarezton,Amex,Desktop,0
262,23/01/2025 12:29,461.06,Sanford Inc,Hollyland,MasterCard,Desktop,0
263,01/01/2025 21:33,15.09,Aguirre Inc,East Paulview,MasterCard,Tablet,0
264,03/02/2025 22:14,73.05,Webb-Casey,West Sandra,Amex,Mobile,0
265,28/01/2025 05:31,209.86,Herring and Sons,East Melissa,Discover,Mobile,0
266,15/01/2025 18:58,135,"Wallace, Crawford and Meza",West James,MasterCard,Mobile,0
267,01/02/2025 03:54,119.41,Henderson and Sons,North Gregorytown,Amex,Mobile,0
268,21/01/2025 08:31,121.23,Hunt-Serrano,Farrellstad,Discover,Mobile,0
269,01/01/2025 21:35,44.55,Marshall Ltd,New Gloria,Discover,Tablet,0
270,30/01/2025 11:14,34.76,Hall and Sons,Kimberlychester,MasterCard,Tablet,0
271,01/01/2025 03:15,165.74,Oconnell-Mccormick,Petersmouth,Visa,Tablet,0
272,21/01/2025 07:00,166.13,York-Marshall,Laurenland,Visa,Tablet,0
273,06/01/2025 16:15,201.8,Chen-Ellis,Lake Christopher,MasterCard,Tablet,0
274,01/01/2025 15:00,244.46,Clark-Lopez,New Jeffreymouth,Discover,Tablet,0
275,28/01/2025 12:51,71.61,"Gibson, Williams and Quinn",South Sheilamouth,MasterCard,Tablet,0
276,09/01/2025 03:42,69.62,Clayton Ltd,New Daltonchester,Amex,Mobile,0
277,16/01/2025 15:13,160.09,Figueroa LLC,East Kathyton,Visa,Desktop,0
278,02/01/2025 20:55,104.97,Pace Group,Cameronhaven,Amex,Tablet,0
279,28/01/2025 19:28,121.06,"Park, Lewis and Collins",Dianahaven,MasterCard,Desktop,0
280,12/01/2025 23:58,158.86,"Chambers, Miller and Gibbs",East William,MasterCard,Tablet,0
281,29/01/2025 23:48,220.73,Wang Inc,North Kristen,Discover,Tablet,0
282,03/02/2025 10:38,41.25,"Snow, Newman and Stewart",Spencerberg,Discover,Mobile,0
283,02/01/2025 19:20,47.09,"Rose, Carter and Avery",West Stephanie,Discover,Desktop,0
284,24/01/2025 16:01,9.87,Smith and Sons,East Jennifer,Amex,Mobile,0
285,09/01/2025 17:39,86.34,Moore-Brown,Lake Brandon,Discover,Mobile,0
286,27/01/2025 12:24,3.66,"Lewis, Bates and Smith",Lake Courtney,MasterCard,Desktop,0
287,19/01/2025 21:32,62.66,"Hall, Coleman and Mccann",Julieport,Discover,Mobile,0
288,20/01/2025 11:59,78.23,"Berry, Hunter and Williams",Thompsonmouth,Visa,Tablet,0
289,01/02/2025 17:33,33.76,Edwards PLC,North Laura,Discover,Tablet,0
290,29/01/2025 05:53,89.36,"Roberts, Campos and Parks",Catherineport,Amex,Tablet,0
291,24/01/2025 06:48,3.1,"Brooks, Taylor and Hamilton",Dianafort,Visa,Tablet,0
292,19/01/2025 02:31,3.81,"Jones, Chang and Fowler",Port Yolanda,Visa,Tablet,0
293,20/01/2025 17:37,172.94,"Campbell, Drake and Peterson",Robinsonstad,Visa,Mobile,0
294,13/01/2025 21:12,44.66,Gonzales-Johnson,Port Erin,Amex,Mobile,0
295,02/02/2025 02:19,13.59,Cherry-Marshall,New Joseph,MasterCard,Tablet,0
296,23/01/2025 10:51,73.87,Thomas-Jenkins,South Mark,Discover,Tablet,0
297,22/01/2025 23:36,146.96,Ortiz-Figueroa,Carolynbury,Visa,Mobile,0
298,29/01/2025 08:14,24.31,"Harmon, Ellis and Williams",West Gregory,Visa,Desktop,0
299,08/01/2025 18:46,97.52,Gibson-Chapman,North Rebecca,Visa,Mobile,0
300,21/01/2025 17:34,8.92,Anderson and Sons,Taylorchester,MasterCard,Mobile,0
301,21/01/2025 18:07,5.31,Terry Inc,Houstonfurt,MasterCard,Mobile,0
302,05/01/2025 21:43,75.79,Riley LLC,South Thomas,Amex,Mobile,0
