TransactionID,Amount,TransactionType,CustomerAge,AccountBalance,Location,DeviceUsed,TimeOfTransaction,CardType,PreviousFraudHistory,MultiDeviceUsed,TransactionSpeed,MerchantRisk,RepeatedTransactions,InternationalTransaction,Fraudulent
643,2122.365589895481,Online,37,42562.89243498037,Canada,Tablet,Afternoon,Credit,0,0,3.3629802317404787,High,1,0,1
4768,982.6952689742988,POS,27,3359.8549051356563,India,Mobile,Night,Debit,0,0,4.669956806950772,Medium,0,0,0
502,5365.602699777763,POS,69,33893.43080288727,Canada,Mobile,Night,Prepaid,0,1,4.180959856331735,Medium,0,0,1
4067,1268.292411829789,Online,41,23271.948530016158,Canada,Desktop,Evening,Debit,0,1,3.1814539807299207,High,0,0,0
334,1169.5656786640932,Online,53,27692.01461143681,UK,Mobile,Evening,Debit,0,0,4.23800046162374,High,0,0,1
4685,7757.297914222804,POS,49,27613.38762251339,USA,Desktop,Morning,Prepaid,0,0,4.4504265549050945,Low,0,1,0
487,464.00933961116414,Wire Transfer,26,15502.020936570716,Mexico,Tablet,Night,Prepaid,0,0,1.7429976119086932,High,0,0,1
1963,8399.624833499816,Online,74,30520.593038028554,Germany,Mobile,Morning,Credit,0,0,4.406998001634917,Low,0,0,1
394,7766.365477812548,ATM,56,45517.31731543277,France,Desktop,Night,Credit,0,0,1.5656844681042925,Medium,0,0,1
4843,3529.7472719828675,Online,67,28591.964492827083,USA,Mobile,Evening,Credit,0,1,4.091436568393624,Low,0,0,0
4867,3566.0181569716988,ATM,51,20937.724896010728,Germany,Desktop,Afternoon,Prepaid,0,0,1.1729189244993152,High,0,0,0
1756,8017.355747711066,ATM,61,42182.612826424884,France,Mobile,Evening,Debit,0,0,0.3997298120033995,Medium,0,0,1
2516,9264.562241233567,ATM,56,38764.90091987515,India,Mobile,Morning,Prepaid,0,0,3.453403943229945,High,0,0,1
3586,3289.048725726611,Online,77,3613.7085020599925,Germany,Mobile,Evening,Prepaid,0,0,4.9536255121257,Low,0,0,0
4316,1779.7636969940295,POS,74,49176.02605126508,France,Desktop,Evening,Prepaid,0,0,1.9310205838446723,Low,0,0,0
4967,9673.039191799273,ATM,33,38297.908565275866,Mexico,Mobile,Evening,Credit,1,0,2.0597884369874984,Low,0,0,0
2100,3965.7450218979243,ATM,58,25927.58780344889,France,Tablet,Morning,Prepaid,0,1,1.2538583356338078,Medium,0,0,1
3600,6620.055923695599,POS,41,2612.1831847982003,France,Desktop,Morning,Prepaid,0,1,2.7265400561897195,High,0,0,0
4122,5259.448370485373,ATM,62,11846.667458587252,Canada,Desktop,Afternoon,Debit,1,0,4.861456331131596,High,0,0,0
30,474.03962307277726,POS,48,14242.806548037985,France,Tablet,Night,Credit,0,0,1.9420244515175438,High,0,0,1
66,5431.533870750902,ATM,49,42737.30660153625,France,Tablet,Evening,Credit,1,1,1.6840569200939934,Medium,0,0,1
839,5810.077619277654,Online,62,48548.85957945735,France,Desktop,Night,Prepaid,0,1,3.177244976687025,Low,0,0,1
3907,5145.8134710870845,ATM,59,32986.40702024421,UK,Mobile,Afternoon,Prepaid,0,0,4.954521842530016,High,0,0,0
3774,7332.671071154006,Wire Transfer,39,10530.124631625415,France,Mobile,Morning,Credit,1,0,3.875497148520804,Low,0,0,0
4636,9524.34365646326,POS,30,47850.345890967736,France,Mobile,Evening,Credit,0,1,3.508464031483978,Low,1,0,0
3162,228.91415446233947,ATM,67,19931.716742276723,Germany,Desktop,Afternoon,Credit,0,1,0.25864061953289147,Medium,1,0,0
2660,6576.961286879585,Online,48,28167.468118648194,UK,Tablet,Evening,Debit,1,1,1.8026076574623757,High,1,0,1
4616,3176.256791455141,POS,33,6200.149731207128,Mexico,Tablet,Morning,Credit,0,0,1.8519553267873503,Low,1,0,0
4629,6460.793183077026,POS,35,31797.51152269224,Mexico,Tablet,Afternoon,Debit,0,0,0.13797794424132456,Medium,1,0,0
2452,9664.509684805409,Online,34,20183.96412932571,India,Desktop,Afternoon,Prepaid,0,1,4.177030974079663,Low,0,0,1
2847,7877.615367729205,POS,50,16249.59476317942,UK,Mobile,Evening,Debit,0,1,1.0348458314330737,High,0,0,1
1145,2677.612418992519,ATM,69,42098.75127031356,Canada,Desktop,Afternoon,Credit,0,0,3.4056018698101918,Medium,0,1,1
3079,1556.7378398512212,ATM,42,14955.806580597886,USA,Tablet,Night,Debit,1,1,3.961390974794289,High,0,0,0
1104,9278.245309120177,Online,28,11880.710009732125,Germany,Mobile,Morning,Prepaid,0,1,0.882799216868125,Medium,0,1,1
169,417.34366413209153,ATM,18,16122.264509242696,Germany,Desktop,Morning,Credit,0,1,1.9479220199740783,Medium,0,0,1
1671,3812.426701831035,POS,51,37723.57375011186,Mexico,Tablet,Evening,Credit,0,0,3.258093091983357,Low,0,0,1
2571,4056.9759183303886,Wire Transfer,68,3056.143766288344,Canada,Desktop,Evening,Credit,0,0,3.6711920171682393,Medium,1,0,1
2378,7891.961747608725,ATM,28,48503.2268510082,Germany,Desktop,Morning,Prepaid,0,0,4.579541179274127,Low,0,0,1
4396,8423.232112737307,ATM,60,6970.172100575233,France,Desktop,Afternoon,Debit,0,0,1.1032616913891022,High,0,0,0
4258,4522.877365054624,POS,68,44922.276707209145,Canada,Desktop,Night,Credit,0,0,0.3017643489936478,High,0,1,0
3863,3740.8448718757254,Online,19,37142.66155571982,USA,Tablet,Night,Prepaid,0,1,0.4783788367841353,Low,0,0,0
24,3669.9548145039803,Online,72,17055.1356901229,France,Mobile,Afternoon,Prepaid,0,0,4.720381372963411,High,0,0,1
2634,1677.8613565845153,Online,63,38924.65497266895,India,Desktop,Evening,Debit,0,0,1.3604564429157593,Medium,0,0,1
3341,8892.387960160699,Online,44,13839.004073288736,Canada,Desktop,Evening,Prepaid,0,1,2.343932140394339,Low,1,0,0
2216,3054.4634429074717,POS,24,21546.028217549883,Mexico,Mobile,Evening,Debit,0,1,1.0457230523958723,Medium,0,0,1
3683,7729.98648245414,Online,47,14107.106436085503,Canada,Desktop,Morning,Credit,1,1,2.5617693789712783,Medium,0,0,0
4725,2204.1529366597442,Wire Transfer,46,30914.441059550256,France,Mobile,Morning,Debit,0,0,2.889452337193746,Medium,0,0,0
1908,3685.728105507824,Wire Transfer,75,1704.7848926635133,Canada,Tablet,Night,Credit,0,1,1.5268185482109389,Medium,0,0,1
85,3116.7133939394653,Wire Transfer,23,20230.294147343153,India,Tablet,Afternoon,Prepaid,1,1,3.5680796096528455,Low,0,0,1
228,3937.0462694209364,Online,25,20869.356385027328,USA,Tablet,Morning,Prepaid,0,0,2.8337300345239727,Low,0,0,1
297,7702.235595455122,Online,29,39773.09606107337,France,Mobile,Evening,Prepaid,0,0,2.6052436126129184,High,0,0,1
1002,5423.590464309797,ATM,48,19044.256105438424,UK,Mobile,Morning,Credit,0,0,3.7879338413163626,Low,0,0,1
2139,1882.2453215348464,POS,73,8448.607501894518,Germany,Tablet,Afternoon,Prepaid,1,0,4.938502843574931,High,0,0,1
712,5960.431018672364,Wire Transfer,35,33583.30286047352,Mexico,Mobile,Evening,Debit,1,1,1.6999052378474993,Low,0,1,1
2802,9079.908949858398,Wire Transfer,40,48137.02930284224,Canada,Tablet,Night,Credit,1,0,0.13884121547422254,High,0,0,1
2528,9574.90571019058,POS,51,7599.628072233866,Germany,Desktop,Night,Debit,1,0,1.929031084490438,High,1,0,1
3753,3145.6419843851227,POS,51,21572.249615400517,Germany,Desktop,Afternoon,Debit,0,0,4.590534058663908,Low,0,0,0
3322,673.9686245049585,Wire Transfer,71,22964.67805897821,Germany,Tablet,Night,Credit,0,0,4.22729246921282,Medium,0,0,0
3182,2898.982588496539,POS,58,14390.98066880753,India,Desktop,Afternoon,Prepaid,0,1,3.4727434867525377,Medium,1,0,0
4184,3159.2419521480138,Wire Transfer,26,8313.718419105415,France,Mobile,Afternoon,Debit,0,0,0.8913318396969168,High,0,0,0
1616,6698.174682429919,ATM,25,8984.65473256515,India,Desktop,Afternoon,Prepaid,1,0,2.130199511051875,Medium,0,0,1
3025,575.290704905689,Wire Transfer,19,909.9796075526356,USA,Desktop,Night,Debit,0,1,4.409518272236131,Medium,0,1,0
1414,580.2976923322553,Online,41,48257.03503688431,Mexico,Tablet,Morning,Credit,0,1,4.673134683630835,Medium,1,0,1
764,7442.023462801043,POS,71,6616.527806004568,USA,Tablet,Night,Credit,0,1,0.6539108650619255,High,0,0,1
656,1284.527224927682,Online,34,7255.536774080257,USA,Desktop,Morning,Prepaid,1,0,2.152263959073391,Medium,0,0,1
4798,7833.782694927735,ATM,39,29817.987910968397,UK,Desktop,Morning,Prepaid,1,1,0.8119731001376732,Low,0,0,0
3850,693.8200211345077,ATM,37,10524.141814632936,Mexico,Desktop,Evening,Prepaid,0,1,1.0445218212184741,Medium,0,0,0
4154,3572.3957981021945,ATM,72,29136.192030862458,USA,Mobile,Evening,Debit,1,1,4.251290681887228,High,0,0,0
469,2243.722426809332,ATM,43,27179.698423258476,Canada,Mobile,Night,Credit,1,0,2.6859205607153167,Medium,0,0,1
158,7618.5799571338885,Online,44,18247.859383411258,Germany,Desktop,Morning,Prepaid,0,0,3.0272138372995645,Medium,0,0,1
1296,2009.5009400056529,Online,18,35400.56654356448,Germany,Desktop,Afternoon,Credit,0,1,0.8747271333705942,High,1,0,1
498,786.5690232801985,Wire Transfer,78,9186.417017071868,USA,Desktop,Morning,Credit,0,1,3.5719526450013106,Medium,0,0,1
4741,7189.993951489401,POS,19,39714.035868133724,Germany,Tablet,Night,Debit,0,1,4.480446072353734,Medium,1,0,0
2941,2660.608114179115,ATM,37,27997.94512814083,France,Tablet,Night,Credit,0,1,0.12675863065598242,Low,0,0,1
3457,5008.5908676934505,Online,59,13134.881594845083,India,Mobile,Night,Credit,1,0,0.9388430450477332,Medium,1,0,0
374,6833.237666429405,POS,50,13475.531060914864,Mexico,Desktop,Morning,Debit,1,0,2.8409726526711485,Low,0,0,1
80,1167.5319046560458,Wire Transfer,37,41402.977136643814,Mexico,Tablet,Night,Prepaid,0,0,0.4415856809960229,Low,0,0,1
1554,8843.222568850593,POS,29,42822.152232271495,UK,Desktop,Morning,Credit,0,1,1.2559435376638035,High,0,0,1
1670,8176.322587827004,Wire Transfer,21,21466.00214270883,Germany,Desktop,Evening,Credit,0,0,1.7034846650963955,Low,0,0,1
2132,135.94912455783282,Wire Transfer,25,43097.20457904956,India,Desktop,Afternoon,Debit,0,0,3.6720426462131326,Low,0,0,1
4440,2414.298442423959,ATM,62,15460.386826466332,India,Desktop,Afternoon,Credit,0,0,4.483162211010193,High,0,0,0
466,3754.9570894418034,ATM,61,24729.488900490687,Mexico,Tablet,Afternoon,Credit,0,1,3.851600793005668,Medium,0,1,1
249,9636.563571121636,Online,62,30672.27362839951,Germany,Tablet,Afternoon,Credit,0,0,4.489696486033987,Medium,1,0,1
932,8350.953065624999,Online,22,23315.149499094878,USA,Mobile,Afternoon,Prepaid,0,0,0.30552852040420303,Low,0,0,1
1336,6506.753606605899,POS,77,29727.50505725224,Canada,Tablet,Afternoon,Credit,0,1,1.673258680116271,Medium,0,0,1
4525,8103.509288697428,POS,33,9078.875419149463,Germany,Desktop,Morning,Credit,0,0,0.30942558199804515,Low,0,0,0
1339,731.2621057019667,Online,67,38126.755602701,Germany,Tablet,Morning,Debit,0,0,2.045305060592883,Low,0,0,1
1407,8443.26278520228,ATM,76,47161.714167348444,Canada,Desktop,Morning,Prepaid,0,0,1.815176255480764,Medium,0,0,1
1091,9427.890423609906,ATM,54,16937.063147674093,India,Mobile,Night,Credit,0,0,3.347773587623848,High,0,0,1
4210,579.6988708961575,ATM,39,11796.005523669184,UK,Tablet,Night,Credit,1,0,0.33632340827504015,Low,1,0,0
743,7478.617707960749,ATM,52,32758.607158895964,USA,Mobile,Night,Debit,0,0,0.29769421778860217,High,0,0,1
2324,3100.633451449193,Wire Transfer,39,9343.610720172774,USA,Mobile,Evening,Debit,0,1,4.133356146662707,Medium,1,0,1
3602,5713.065394226368,POS,77,15063.169892668127,Germany,Tablet,Evening,Credit,0,0,2.9137522883805773,Medium,0,0,0
2124,4183.432182958246,Wire Transfer,64,43090.75880729537,Canada,Mobile,Morning,Prepaid,1,0,1.3652604477167445,Medium,0,0,1
2095,2878.5082012649095,Online,34,19597.80700710761,France,Tablet,Night,Credit,0,0,4.005356839683116,Medium,1,0,1
241,9405.181257685614,Online,26,21123.937528070503,Germany,Tablet,Morning,Credit,0,0,4.233058001750515,High,0,0,1
2352,9133.736606286606,POS,61,780.5311128864622,Mexico,Mobile,Night,Credit,0,0,2.9008588678306317,High,1,0,1
1371,9714.23698947598,ATM,56,26119.16527133676,Canada,Desktop,Night,Prepaid,0,0,3.551037898594361,Low,0,0,1
1058,4025.2898269563293,ATM,48,39305.032330383554,India,Tablet,Afternoon,Prepaid,0,0,0.2518636417100906,High,1,0,1
4817,9092.929340702805,ATM,64,45962.71232631557,Germany,Desktop,Evening,Credit,0,0,1.941014265221303,Low,0,0,0
200,7800.956703117662,Wire Transfer,78,22793.325009021653,India,Desktop,Evening,Prepaid,0,0,3.9748282171406553,High,0,0,1
2281,2551.3718926100514,ATM,37,16323.636490931032,Canada,Desktop,Night,Debit,1,0,1.8645068893715344,Low,0,0,1
4750,8025.9938266687295,Online,59,33489.35015887094,India,Tablet,Morning,Prepaid,1,1,2.861129702465977,High,0,0,0
2221,7039.822914833349,POS,38,14450.316736723173,France,Desktop,Night,Prepaid,0,0,3.8566844749502156,Low,0,0,1
4772,4040.774880579726,ATM,45,44633.88266724508,Canada,Desktop,Morning,Debit,1,0,3.2194085006064825,Low,0,0,0
2820,3576.723146260422,Wire Transfer,48,43034.442528699474,Mexico,Tablet,Night,Prepaid,0,0,2.3829695974926834,Low,0,0,1
3151,6306.169722367017,Wire Transfer,77,36323.57717479158,Germany,Mobile,Evening,Debit,0,0,0.5479976919594111,Low,0,0,0
4257,9977.516396211904,POS,53,24612.82031894722,France,Mobile,Morning,Prepaid,0,0,4.948327117253064,High,0,0,0
3108,100.45107418790607,ATM,72,21553.06221453947,USA,Mobile,Morning,Credit,0,1,0.3309444682433986,High,1,0,0
1974,5185.606874725766,ATM,72,20179.47353825738,USA,Mobile,Night,Debit,0,0,3.3947008347619794,Medium,1,0,1
1376,8708.79151371239,Wire Transfer,33,23490.428144145055,UK,Mobile,Night,Prepaid,0,0,3.6170599400396726,High,0,0,1
3969,5887.638687621702,POS,67,13267.558583769545,France,Mobile,Morning,Prepaid,0,0,2.77877673554252,Low,0,1,0
4063,7655.980004941826,POS,29,26041.66032237862,UK,Desktop,Morning,Credit,0,1,0.31015137583620683,Low,1,0,0
4446,9782.424478580317,Wire Transfer,18,23279.77524189621,Canada,Tablet,Afternoon,Credit,0,1,3.5476783575434183,Medium,0,0,0
3558,4883.464842254685,POS,76,33701.147330081636,Canada,Desktop,Afternoon,Debit,0,0,0.5250465376049435,High,0,0,0
965,2894.050430339292,POS,74,24517.90175825937,Germany,Mobile,Afternoon,Debit,0,0,4.700067721188261,Medium,0,0,1
180,1383.8342320184727,ATM,18,25723.982106551528,Mexico,Desktop,Morning,Prepaid,0,0,1.6982482366961542,Medium,0,0,1
3699,9332.718826715469,POS,24,10784.315695493535,France,Desktop,Night,Prepaid,0,0,0.10908438675945281,High,1,1,0
3822,3631.9723676253543,Wire Transfer,33,35095.54509659714,Canada,Desktop,Morning,Prepaid,1,0,1.2681261609325072,Medium,0,0,0
4879,3631.3948254698166,Online,27,26822.56280211165,France,Mobile,Morning,Debit,0,0,4.7388230289925835,Low,0,0,0
3900,8448.21243181134,Wire Transfer,46,5180.939383248328,Canada,Mobile,Morning,Debit,0,0,4.725636279125789,Low,0,0,0
4488,3554.7702368761948,Wire Transfer,21,19338.511744084102,Canada,Tablet,Afternoon,Prepaid,0,1,2.7455860777071215,Low,0,0,0
3239,6166.841854397983,ATM,54,14023.02434259226,Germany,Desktop,Morning,Prepaid,0,0,1.5535649593963547,Low,0,0,0
2975,3849.7068348561074,Wire Transfer,49,19247.544196427356,Mexico,Tablet,Night,Credit,0,0,1.9568060575504194,Medium,0,0,1
3581,4836.976824503548,Online,43,780.3718327630438,USA,Mobile,Morning,Prepaid,0,0,4.6709640237666585,High,0,0,0
2888,4100.026597452013,POS,62,47277.66718837263,Germany,Mobile,Night,Debit,0,0,1.6135081198191443,High,0,0,1
2576,6408.355661336681,Wire Transfer,79,25262.769512545514,USA,Desktop,Morning,Credit,0,0,0.6958490350529376,Low,0,0,1
1420,9339.41142510377,ATM,79,16195.265828160094,France,Mobile,Morning,Debit,0,0,0.34397307231585944,Medium,0,0,1
3908,3091.5981320799456,Online,30,28756.702720182868,India,Desktop,Afternoon,Prepaid,1,0,0.4375678635239977,High,0,0,0
4674,1134.7787606266527,Wire Transfer,75,7040.960906689758,Germany,Desktop,Morning,Prepaid,1,1,3.771609590536043,High,0,0,0
4903,1241.242106744189,Online,62,42085.288261147376,UK,Tablet,Afternoon,Debit,0,1,3.4878437540645866,Medium,1,0,0
1861,7766.709990532249,Online,76,13064.368016841892,India,Tablet,Night,Credit,0,0,0.32849504960918197,Medium,0,0,1
9,6015.138967314656,ATM,51,15624.416307142741,UK,Tablet,Afternoon,Prepaid,0,0,1.5702490968106566,High,0,0,1
2895,1524.4347972529927,Wire Transfer,54,31632.968796476984,France,Tablet,Evening,Credit,0,0,2.2227309684015832,Medium,0,0,1
2848,2517.5038187903797,Wire Transfer,58,28249.998559095784,USA,Desktop,Evening,Prepaid,0,1,2.3800846358471754,High,0,0,1
3665,5516.088019544557,Online,44,22474.007933745776,USA,Tablet,Afternoon,Credit,0,1,2.1187079101277964,Low,0,0,0
145,2855.5565388309014,Wire Transfer,78,33605.72300493995,France,Desktop,Evening,Prepaid,0,1,3.336058408384988,High,0,0,1
2105,7934.680890878161,POS,36,31957.236906157283,France,Mobile,Morning,Debit,0,1,0.14482782505758252,Low,0,0,1
3144,5387.936113124577,Online,73,13880.625148066678,Mexico,Mobile,Night,Prepaid,0,0,0.7052672992472133,High,0,0,0
842,6638.7383464469385,POS,32,24050.93899002309,India,Desktop,Night,Prepaid,0,0,4.595506150469759,Low,0,0,1
1129,3733.158284953017,Wire Transfer,26,9029.810395236182,Mexico,Mobile,Afternoon,Prepaid,0,0,2.1331865024549095,Medium,0,0,1
152,2403.2232877630545,POS,36,22587.087675772098,USA,Desktop,Evening,Credit,0,0,4.246119152395479,Low,0,0,1
3592,1763.1613575397603,Wire Transfer,66,39910.19128719709,Mexico,Tablet,Evening,Prepaid,0,1,2.8434894729032414,Low,0,1,0
1053,9391.286308143834,POS,77,19116.308228012014,UK,Tablet,Evening,Credit,0,1,2.893508828691851,High,0,0,1
1591,6927.437151730453,Wire Transfer,63,49612.428957778764,UK,Mobile,Evening,Credit,0,0,4.6461728201732395,Low,0,0,1
3009,6743.458991397339,Wire Transfer,55,12649.987025592352,Canada,Tablet,Evening,Prepaid,0,1,1.2167822311592558,High,0,0,0
2030,6545.204268726004,Wire Transfer,65,46620.274807330905,Mexico,Tablet,Evening,Debit,0,0,2.8304111352590953,High,0,0,1
3419,2327.8616212850193,Wire Transfer,75,12257.697305237176,Mexico,Desktop,Evening,Credit,1,0,2.7423512654217466,Low,0,0,0
1808,1860.1037229960048,Wire Transfer,20,29985.206825537232,Germany,Tablet,Morning,Credit,0,0,0.4883210135627888,Low,0,0,1
2697,6778.647251914942,Online,50,10316.943929104444,UK,Mobile,Afternoon,Credit,0,1,1.0887846984786143,Medium,0,0,1
3040,5191.822933862144,POS,41,34616.80824548617,Germany,Mobile,Evening,Credit,0,1,4.577619355733389,Low,0,1,0
473,441.1675203862554,Wire Transfer,49,3652.5888405330275,Mexico,Desktop,Night,Credit,0,0,4.39129445989312,Medium,0,0,1
3290,2042.6926975509825,ATM,31,39293.34283529425,Germany,Desktop,Morning,Prepaid,0,0,1.7509227791831956,High,0,1,0
4075,6828.499270781838,Wire Transfer,32,41619.26828579285,Mexico,Mobile,Evening,Prepaid,0,0,2.218989039791303,High,0,1,0
3497,8631.338345275131,ATM,21,20020.82305854137,France,Mobile,Night,Debit,0,1,2.4486382968558966,Medium,0,0,0
280,7959.96876766665,POS,53,2878.593265139856,India,Tablet,Afternoon,Prepaid,0,1,0.44703465163533607,Low,0,0,1
1742,7338.807661808406,Wire Transfer,72,9424.402496931933,UK,Mobile,Morning,Prepaid,0,1,0.6619397354180608,Medium,0,0,1
4625,9450.790405159882,Wire Transfer,78,12755.769666900036,Mexico,Tablet,Morning,Credit,0,0,4.8076905180476315,Medium,0,0,0
2887,5074.135175238728,ATM,38,44169.32435245112,USA,Tablet,Night,Debit,0,0,2.5969086350476025,Medium,0,1,1
1942,3349.0408037736474,POS,23,14825.475007106554,India,Desktop,Night,Prepaid,0,0,2.9864201576577565,High,0,0,1
101,323.9775650104752,POS,34,12522.170087680184,France,Desktop,Afternoon,Prepaid,0,0,3.373049899154711,High,0,0,1
2805,5219.381790827505,Online,24,4010.3853906862996,USA,Mobile,Afternoon,Debit,0,0,3.345808276528603,High,1,0,1
3571,3145.61621225748,POS,70,14208.900019513121,Mexico,Tablet,Evening,Prepaid,0,0,3.229026418566905,Low,0,0,0
3685,6777.157367589839,POS,66,24417.731014060017,Germany,Tablet,Evening,Debit,0,0,3.9971209014551032,High,1,0,0
3662,5017.743689811036,POS,56,46918.93685420305,Mexico,Tablet,Morning,Prepaid,0,0,2.7713195160788455,Low,0,0,0
531,8130.881081209475,Online,22,46523.87959818341,USA,Desktop,Evening,Debit,0,0,0.23629837842889367,Low,0,0,1
1887,103.22288207266203,POS,70,22190.637049004043,Germany,Tablet,Morning,Debit,0,1,4.621198215870371,High,1,0,1
682,2586.449242178949,ATM,32,12610.002530845642,Canada,Desktop,Morning,Credit,0,0,1.7999411019330276,Low,1,0,1
3795,334.1100260113978,POS,21,45362.35345377493,India,Tablet,Evening,Prepaid,0,0,4.224531333511119,Low,0,0,0
3945,1011.4531815915375,POS,36,8199.398597943524,USA,Mobile,Morning,Prepaid,0,0,1.8095633131253117,Medium,0,0,0
4667,1062.959760190658,Online,34,42105.431106463766,Mexico,Mobile,Morning,Debit,1,0,4.359422161462974,High,1,0,0
2019,228.0157337871401,Online,24,5933.624603590204,Germany,Tablet,Morning,Prepaid,1,0,2.784888929192491,High,0,0,1
1097,2212.657228611052,Wire Transfer,66,8734.967571044921,France,Tablet,Evening,Credit,0,0,4.259758119540752,High,1,0,1
830,4527.657229489174,ATM,70,40344.96739598445,Germany,Desktop,Night,Prepaid,0,1,0.30279305125583,High,0,0,1
2806,9773.306000835122,POS,55,37553.95969512181,Germany,Desktop,Night,Prepaid,1,0,1.318242026756289,High,0,0,1
3830,2220.174577496179,POS,64,9905.43573357871,Germany,Tablet,Night,Prepaid,0,1,4.981359970636662,High,0,0,0
4382,720.8452319903183,ATM,19,49650.93396061561,India,Desktop,Morning,Prepaid,0,0,2.997901637757152,Medium,0,0,0
3892,5317.62724332581,Wire Transfer,65,37990.34535501599,India,Desktop,Evening,Credit,0,1,4.98101259586767,Low,0,0,0
765,344.98902301043603,ATM,52,33849.98026828929,Mexico,Mobile,Morning,Prepaid,0,0,1.6638568534949454,Low,0,0,1
2768,2426.514008187763,ATM,67,24595.820987618838,UK,Mobile,Evening,Prepaid,0,0,0.6648621572806097,High,0,0,1
4329,870.4600692461665,Online,36,36311.28959351385,Canada,Mobile,Afternoon,Credit,0,0,1.3865069828090861,Medium,0,0,0
3296,674.9816318630864,POS,70,40655.889598448994,UK,Tablet,Night,Credit,1,0,1.2936412919171407,Medium,0,0,0
2195,1118.7847974426759,POS,36,40777.61270160641,Mexico,Tablet,Afternoon,Debit,0,0,0.16403925181648998,Medium,0,0,1
2358,673.7740051141911,POS,53,13261.374768931062,UK,Tablet,Night,Debit,0,0,4.763322030013682,Low,0,0,1
3426,6199.066738362671,POS,33,34363.83058602158,Mexico,Tablet,Evening,Credit,1,0,4.869362404363298,Medium,1,0,0
3980,4266.951167142785,Online,22,44567.180244001174,UK,Mobile,Afternoon,Prepaid,1,0,4.215703583996204,Low,0,0,0
912,2687.9557718205338,Online,44,29819.27092016146,Canada,Tablet,Night,Prepaid,0,0,1.1977942523023866,High,0,0,1
3146,3690.8047099666232,Wire Transfer,37,12525.421794291735,UK,Desktop,Afternoon,Prepaid,0,1,4.242694897832658,Low,0,0,0
1000,4465.597671849978,Wire Transfer,19,22092.404358692853,Germany,Tablet,Evening,Prepaid,1,1,0.1422317652346118,Medium,0,0,1
3654,1715.376549491677,Wire Transfer,79,21231.870319517537,Canada,Mobile,Afternoon,Debit,0,0,4.371094218070226,High,0,0,0
